,source_sentence,ref0,hyp0,wer0,ref1,hyp1,wer1
3953,и чтооо там в интернете да я ничё не понимаю,и чтооо там в интернете да я ничё не понимаю,и что там в интернете да я ниче не понимаю,0.2,и чтооо там в интернете да я ничё не понимаю,и что там в интернете да я ниче не понимаю,0.2
3954,ну ладно ладно ну ладно тогда до свидания,ну ладно ладно ну ладно тогда до свидания,ну ладно ладно ладно ну ладно тогда до свидания,0.125,ну ладно ладно ну ладно тогда до свидания,ну ладно ладно ладно ну ладно тогда до свидания,0.125
3955,я в курсе а ты чё нахуй ебёшь меня,я в курсе а ты чё нахуй ебёшь меня,я в курсе а ты че нахуй ебешь меня,0.2222222222222222,я в курсе а ты чё нахуй ебёшь меня,я в курсе о ты че нахуй ее ты,0.4444444444444444
3956,ну вот и всё что я хотел сказать я понял но,ну вот и всё что я хотел сказать я понял но,ну вот и все что я хотел сказать я понял,0.18181818181818182,ну вот и всё что я хотел сказать я понял но,ну вот и все что я хотел сказать а я понял ну вот,0.36363636363636365
3957,а потом мы вместе с ребятами ходили смотреть как он ругается матом и я ему сказала чтоб он больше такого никогда не делал,а потом мы вместе с ребятами ходили смотреть как он ругается матом и я ему сказала чтоб он больше такого никогда не делал,а потом мы вместе с ребятами ходили смотреть как он ругается матом я ему сказала чтобы он больше такого никогда не делал,0.08695652173913043,а потом мы вместе с ребятами ходили смотреть как он ругается матом и я ему сказала чтоб он больше такого никогда не делал,а потом мы вместе с ребятами ходили смотреть как он ругается матом и я ему сказала чтоб он больше такого никогда не делал,0.0
3958,ну ты же знаешь что мы не можем вот так вот взять да и сделать всё наоборот поэтому мы работаем над этим ну а как иначе,ну ты же знаешь что мы не можем вот так вот взять да и сделать всё наоборот поэтому мы работаем над этим ну а как иначе,ну ты знаешь что мы не можем вот взять да и сделать все наоборот поэтому мы работаем над этим ну а как инче,0.19230769230769232,ну ты же знаешь что мы не можем вот так вот взять да и сделать всё наоборот поэтому мы работаем над этим ну а как иначе,ну ты знаешь что мы не можем вот взять да и сделать все наоборот поэтому мы работаем над этим ну а как инче,0.19230769230769232
3959,так а вы кто там в военкомате дежурный есть или нет,так а вы кто там в военкомате дежурный есть или нет,так а вы кто там в банкомате дежурный есть или нет,0.09090909090909091,так а вы кто там в военкомате дежурный есть или нет,так а вы кто там военнот дежурный есть или нет,0.18181818181818182
3960,я не знаю что такое ботнет ну как бы он работает,я не знаю что такое ботнет ну как бы он работает,я не знаю что такое ботнет ну как бы он работает,0.0,я не знаю что такое ботнет ну как бы он работает,я не знаю что такое ботнет ну как бы он работает,0.0
3961,а мне это интересно эээ я вот недавно общался с одним человеком э по поводу интернета ну он сказал что,а мне это интересно эээ я вот недавно общался с одним человеком э по поводу интернета ну он сказал что,а мне это интересно я вот недавно общался с одним человеком э по поводу интернет ну он сказал что,0.1,а мне это интересно эээ я вот недавно общался с одним человеком э по поводу интернета ну он сказал что,а мне это интересно я вот недавно общался с одним человеком э по поводу интернет ну он сказал что,0.1
3962,какого отделения куда вам прибыть в какой области республики,какого отделения куда вам прибыть в какой области республики,какого отделения куда вам прибыть в какой области республики,0.0,какого отделения куда вам прибыть в какой области республики,какого отделения куда вам прибыть в какой области республики,0.0
3963,ты чё вообще охуел,ты чё вообще охуел,ты че вообще охуел,0.25,ты чё вообще охуел,вообще охуел,0.5
3964,а это уже совсем другое дело,а это уже совсем другое дело,а это уже совсем другое дело,0.0,а это уже совсем другое дело,а это уже совсем другое дело,0.0
3965,это кто говорит я ничё не понимаю,это кто говорит я ничё не понимаю,это кто говорит я ниче не понимаю,0.14285714285714285,это кто говорит я ничё не понимаю,это кто говорит я ниче не понимаю,0.14285714285714285
3966,а ты где живёшь,а ты где живёшь,а ты где живешь,0.25,а ты где живёшь,а ты где живешь,0.25
3967,что значит как ты меня нашёл блядь,что значит как ты меня нашёл блядь,что значит как бы ты меня нашел блядь,0.2857142857142857,что значит как ты меня нашёл блядь,значит как ты меня нашел блять,0.42857142857142855
3968,а чё ты там делаешь,а чё ты там делаешь,там делаете,0.8,а чё ты там делаешь,а че ты там делаешь,0.2
3969,вы куда звоните я не знаю вы куда вы звоните,вы куда звоните я не знаю вы куда вы звоните,вы куда звоните не знаю вы куда вы звоните,0.1,вы куда звоните я не знаю вы куда вы звоните,вы куда звоните не знаю вы куда вы звоните,0.1
3970,я вам говорю вы же знаете я не знаю где его кабинет а где он находится в другом районе города москвы я вообще не могу понять куда ему подъехать,я вам говорю вы же знаете я не знаю где его кабинет а где он находится в другом районе города москвы я вообще не могу понять куда ему подъехать,я вам говорю вы же знаете я не знаю где его кабинет кому то где он находится в другом районе города москвы я вообще не могу понять ку,0.1724137931034483,я вам говорю вы же знаете я не знаю где его кабинет а где он находится в другом районе города москвы я вообще не могу понять куда ему подъехать,я вам говорю вы же знаете я не знаю где вот его кабинет где он находится в другом районе города москвы я вообще не могу понять куда е,0.13793103448275862
3971,угу и не раз говорил и так далее,угу и не раз говорил и так далее,угу и не раз говорил так дале,0.25,угу и не раз говорил и так далее,угу и не раз говорил так далее,0.125
3972,ты чё больной что ли что ль,ты чё больной что ли что ль,ты че уславишь что ли,0.5714285714285714,ты чё больной что ли что ль,ты че больной что ли что,0.2857142857142857
3973,алё привет,алё привет,але привет,0.5,алё привет,але привет,0.5
3974,я вам ещё поговорю с генералом,я вам ещё поговорю с генералом,я вам еще поговорю с генералом,0.16666666666666666,я вам ещё поговорю с генералом,я вам еще поговорю с генералом,0.16666666666666666
3975,ну вот щас я к тебе приду я щука щукакааа,ну вот щас я к тебе приду я щука щукакааа,ну вот щас я к тебе приду я вас сказала,0.2,ну вот щас я к тебе приду я щука щукакааа,ну вот щас я приду я щас щука щука,0.4
3976,вы мне скажите с какой он стороны к нам идёт кто такой эээ ээ кто такие э эмм э мм э как вы разговариваете с человеком,вы мне скажите с какой он стороны к нам идёт кто такой эээ ээ кто такие э эмм э мм э как вы разговариваете с человеком,вы мне скажите с какой он стороны к нам идет кто такой э кто такие э э кто вы разговариваете с человеком,0.2692307692307692,вы мне скажите с какой он стороны к нам идёт кто такой эээ ээ кто такие э эмм э мм э как вы разговариваете с человеком,вы мне скажите какой он госто стороны к нам я десять кто такой э эмм эм так вы разговариваете с человеком,0.46153846153846156
3977,нууу вы знаете с какими то там запретами у нас в городе всё нормально нет вот поэтому давайте не будем о грустном но всё таки может быть кто то хочет поговорить со мной по человечески,нууу вы знаете с какими то там запретами у нас в городе всё нормально нет вот поэтому давайте не будем о грустном но всё таки может быть кто то хочет поговорить со мной по человечески,ну вы знаете с какими то там запретами у нас в городе все нормально нет вот поэтому давайте не буде,0.5142857142857142,нууу вы знаете с какими то там запретами у нас в городе всё нормально нет вот поэтому давайте не будем о грустном но всё таки может быть кто то хочет поговорить со мной по человечески,ну с вы знаете с какими то там запретами у нас в городе все нормально нет вот поэтому давайте не бу,0.5428571428571428
3978,вот и всё я понял чё вы от меня хотите ну ладно хорошо договорились до свидания щас я подъеду к вам в девять часов утра к девяти ноль ноль по киевскому времени да это ж не на севере Москвы,вот и всё я понял чё вы от меня хотите ну ладно хорошо договорились до свидания щас я подъеду к вам в девять часов утра к девяти ноль ноль по киевскому времени да это ж не на севере Москвы,вот и все я понял че вы от меня хотите ну ладно хорошо договорились до свидания щас я подъ,0.5897435897435898,вот и всё я понял чё вы от меня хотите ну ладно хорошо договорились до свидания щас я подъеду к вам в девять часов утра к девяти ноль ноль по киевскому времени да это ж не на севере Москвы,вот и все я понял че вы от меня хотите ну ладно хорошо договорились до свидания щас я подъ,0.5897435897435898
3979,это не моя инициатива у меня своя точка зрения,это не моя инициатива у меня своя точка зрения,это не моя инициатива у меня своя точка зрения,0.0,это не моя инициатива у меня своя точка зрения,это не моя инициатива у меня свои точка зрения,0.1111111111111111
3980,вот это вот ну это просто интересно у меня есть эээ вот такой опыт я тоже изучаю но мне вот,вот это вот ну это просто интересно у меня есть эээ вот такой опыт я тоже изучаю но мне вот,вот это вот ну это просто интересно у меня есть э вот такой опыт я тоже изучаю но мне вот,0.05,вот это вот ну это просто интересно у меня есть эээ вот такой опыт я тоже изучаю но мне вот,вот это вот ну это просто интересно у меня есть вот такой опыт я тоже изучаю но мне вот,0.05
3981,я говорю вы куда звоните то мне,я говорю вы куда звоните то мне,я говорю вы куда звоните то мне,0.0,я говорю вы куда звоните то мне,я говорю вы куда звоните то мне,0.0
3982,какое ваше начальство,какое ваше начальство,какое ваше начальника,0.3333333333333333,какое ваше начальство,какое ваше начальство,0.0
3983,дааа а какой телефон скажите пожалуйста,дааа а какой телефон скажите пожалуйста,телефон скажите пожалуйста,0.5,дааа а какой телефон скажите пожалуйста,да а какой телефон даже пожалуйста,0.3333333333333333
3984,нууу это вы правильно сделали что позвонили так позвоните и не забудьте сообщить,нууу это вы правильно сделали что позвонили так позвоните и не забудьте сообщить,ну это вы правильно сделали что позвонили так позвоните и не забудьте сообщить,0.07692307692307693,нууу это вы правильно сделали что позвонили так позвоните и не забудьте сообщить,ну это вы правильно сделали что позвоните и не забудьте сообщить,0.23076923076923078
3985,кто звонит,кто звонит,кто звонит,0.0,кто звонит,кто звонит,0.0
3986,слушай чё ты там пишешь,слушай чё ты там пишешь,слушай че ты там пишешь,0.2,слушай чё ты там пишешь,слушай че то там бишешь,0.6
3987,ты меня поняла нет ты что с ума сошёл что ли блядь,ты меня поняла нет ты что с ума сошёл что ли блядь,ты меня поняла нет ты что с ума сошел что ли блин,0.16666666666666666,ты меня поняла нет ты что с ума сошёл что ли блядь,ты меня сейчас не ты что с ума сошел что ли блять,0.3333333333333333
3988,ты мне звонишь с какого то хуя ты трубку взял чё тебе ещё надо то,ты мне звонишь с какого то хуя ты трубку взял чё тебе ещё надо то,мне звонишь с какого то хуя ты трубку взял че тебе еще надо то,0.2,ты мне звонишь с какого то хуя ты трубку взял чё тебе ещё надо то,в перезвонишь с какого то хуя ты трубку взял че тебе еще надо то,0.3333333333333333
3989,у тебя есть время,у тебя есть время,у тебя есть время,0.0,у тебя есть время,у тебя есть время,0.0
3990,я не понимаю что это за организация вы меня слушаете,я не понимаю что это за организация вы меня слушаете,за я не понимаю что это за организация вы меня слушаете,0.1,я не понимаю что это за организация вы меня слушаете,я не понимаю что это за организация вы меня слушаю,0.1
3991,чё ты козёл,чё ты козёл,ты пример,0.6666666666666666,чё ты козёл,очень,1.0
3992,какое отделение скажите мне пожалуйста,какое отделение скажите мне пожалуйста,какое отделение кажите мне пожалуйста,0.2,какое отделение скажите мне пожалуйста,какое отделение скажите мне пожалуйста,0.0
3993,так я вас спрашиваю почему вы ко мне не идёте не хотите говорить нормально,так я вас спрашиваю почему вы ко мне не идёте не хотите говорить нормально,так я вас спрашиваю почему вы ко мне не идете не хотите говорить нормально,0.07142857142857142,так я вас спрашиваю почему вы ко мне не идёте не хотите говорить нормально,так я вас почему вы ко мне не хотите говорить нормально,0.21428571428571427
3994,ты чё ты бля там на меня бросаешь а,ты чё ты бля там на меня бросаешь а,блять там на меня бросаешь,0.5555555555555556,ты чё ты бля там на меня бросаешь а,ты че ты бля там на меня бросаешь а,0.1111111111111111
3995,какого отдела военного комиссариата,какого отдела военного комиссариата,какого отдела военного комментариа,0.25,какого отдела военного комиссариата,какого дела военного комисссариата,0.5
3996,какое отношение имеют эти две телеграммы к моему письму да,какое отношение имеют эти две телеграммы к моему письму да,какое отношение имеют эти две телеграммы моему письму да,0.1,какое отношение имеют эти две телеграммы к моему письму да,какой отношение имееют эти две телеграммы письму да,0.4
3997,ты чё блять придуриваешься блядь ты в жопу дебил ты понимаешь это я говорю потому что это ты меня ебёшь,ты чё блять придуриваешься блядь ты в жопу дебил ты понимаешь это я говорю потому что это ты меня ебёшь,ты че блять придуриваешься блять ты в жопу дебил ты понимаешь это я говорю потому что это ты меня ебешь,0.15,ты чё блять придуриваешься блядь ты в жопу дебил ты понимаешь это я говорю потому что это ты меня ебёшь,ты че блять придуриваешься блядь ты в жопу дебил ды понимаешь это я говорю потому что это ты меня ебешь,0.15
3998,а это уже к куда вы звоните я вам звоню с телеграфа,а это уже к куда вы звоните я вам звоню с телеграфа,а это уже к куда вы звоните я вам звоню с телеграфа,0.0,а это уже к куда вы звоните я вам звоню с телеграфа,а это уже к куда вы звоните я вам звоню с телеграфа,0.0
3999,вы знаете кто такая фея воды,вы знаете кто такая фея воды,вы знаете кто такая фея воды,0.0,вы знаете кто такая фея воды,вы знаете кто такая фея воды,0.0
4000,какое моё дело до твоих проблем ты вообще чё глухой,какое моё дело до твоих проблем ты вообще чё глухой,какое мое дело до твоих проблем ты вообще че глухой,0.2,какое моё дело до твоих проблем ты вообще чё глухой,какое мое дело до твоих проблем ты вообще че глухой,0.2
4001,а почему бы тебе не заниматься чем нибудь полезным,а почему бы тебе не заниматься чем нибудь полезным,а почему бы тебе не заниматься чем нибудь полезным,0.0,а почему бы тебе не заниматься чем нибудь полезным,а почему бы тебе не заниматься чем нибудь полезным,0.0
4002,да я вам щас говорю вы кто такой,да я вам щас говорю вы кто такой,щас говорю вы кто такой,0.375,да я вам щас говорю вы кто такой,да я вам щас говорю вы кто такой,0.0
4003,я тебе сказала чтоб ты к нему больше не звонил ни чё такого не было,я тебе сказала чтоб ты к нему больше не звонил ни чё такого не было,я тебе за сказала чтоб ты к нему больше не звонил ни че такого не было,0.13333333333333333,я тебе сказала чтоб ты к нему больше не звонил ни чё такого не было,я тебе сказала чтоб ты к нему больше не звонил ниче такого не было,0.13333333333333333
4004,ну не знаю я же тебе объяснил как надо поступать,ну не знаю я же тебе объяснил как надо поступать,ну знаю я же тебе объяснил как надо поступать,0.1,ну не знаю я же тебе объяснил как надо поступать,ну не знаете я же тебе объясню как надо поступать,0.2
4005,ну вы скажите пожалуйста у вас есть чё нибудь да или что там в телефоне то нет у меня ниче нету яяя всё есть,ну вы скажите пожалуйста у вас есть чё нибудь да или что там в телефоне то нет у меня ниче нету яяя всё есть,ну вы скажите пожалуйста вообще нет я че нибудь да или что там в телефоне то нет у меня ничего я все есть,0.3333333333333333,ну вы скажите пожалуйста у вас есть чё нибудь да или что там в телефоне то нет у меня ниче нету яяя всё есть,ну вы скажите пожалуйста вас есть че нибудь да или что там в телефоне то нет у меня ничего нет я все есть,0.25
4006,да ну чё ты так нахуй блять,да ну чё ты так нахуй блять,да ну че то так нахуй блять,0.2857142857142857,да ну чё ты так нахуй блять,да ну че то так нахуй блять,0.2857142857142857
4007,такой ты умный парень,такой ты умный парень,такой ты умный парень,0.0,такой ты умный парень,такой ты умный парень,0.0
4008,я тебе ещё раз говорю что если ты мне звонишь то это ты наебал,я тебе ещё раз говорю что если ты мне звонишь то это ты наебал,я еще раз говорю что если ты мне звонишь то это ты наебал,0.14285714285714285,я тебе ещё раз говорю что если ты мне звонишь то это ты наебал,я тебе еще раз говорю что если ты мне звонишь то это ты набал,0.14285714285714285
4009,что такое эрэф ну конечно э ээммм я имею ввиду вот эту вот ситуацию когда тебе звонят,что такое эрэф ну конечно э ээммм я имею ввиду вот эту вот ситуацию когда тебе звонят,что такое э э ну конечно э свиду вот эту вот ситуацию когда тебе звонят,0.35294117647058826,что такое эрэф ну конечно э ээммм я имею ввиду вот эту вот ситуацию когда тебе звонят,что такое эрега ну э ээммм я имею ввиду вот эту вот ситуацию когда тебе звонят,0.11764705882352941
4010,я дежурный по военкомату с вами всё в порядке,я дежурный по военкомату с вами всё в порядке,я дежурный помашка все в порядке,0.5555555555555556,я дежурный по военкомату с вами всё в порядке,я дежурный по информацию в порядке,0.4444444444444444
4011,ты чё с луны свалился или как с неба упал ну не знаю я вообще ни разу в своей жизни,ты чё с луны свалился или как с неба упал ну не знаю я вообще ни разу в своей жизни,ты че с луны свалился или как с небалупал ну не знаю я вообще не знаю я вообще ни разу в своей жизни,0.35,ты чё с луны свалился или как с неба упал ну не знаю я вообще ни разу в своей жизни,и ты с луны своими не было не знаю я вообще не разу в своей жизни,0.5
4012,какое у тебя отношение что к нам,какое у тебя отношение что к нам,какое у тебя отношение что нам,0.14285714285714285,какое у тебя отношение что к нам,какой тебя отношение что к на,0.42857142857142855
4013,как у тебя дела хорошо,как у тебя дела хорошо,как у тебя дела хорошо,0.0,как у тебя дела хорошо,как у тебя дела хорошо,0.0
4014,я не поняла у вас есть телефончик или вы дежурный по отделу военкомата,я не поняла у вас есть телефончик или вы дежурный по отделу военкомата,я не поняла у вас есть телефончик или вы дежурный по отделу военнокома,0.07692307692307693,я не поняла у вас есть телефончик или вы дежурный по отделу военкомата,я не поняла у вас есть телефончик или вы дежурный по отделу военно,0.07692307692307693
4015,и я буду молчать и ждать пока меня поймают,и я буду молчать и ждать пока меня поймают,и я буду молчать и ждать пока меня поймают,0.0,и я буду молчать и ждать пока меня поймают,я буду молчать и ждать пока меня поймают,0.1111111111111111
4016,всё таки он очень умный молодой человек,всё таки он очень умный молодой человек,все таки он очень умный молодой человек,0.14285714285714285,всё таки он очень умный молодой человек,все таки он очень умный молодой человек,0.14285714285714285
4017,и что делать дальше то надо было уже,и что делать дальше то надо было уже,и что делать дальше то надо было уже,0.0,и что делать дальше то надо было уже,и что делать дальше то надо было уже,0.0
4018,ты в каком отделе работаешь то,ты в каком отделе работаешь то,ты в каком отделе работает,0.3333333333333333,ты в каком отделе работаешь то,ты в каком отделе работаешь то,0.0
4019,ну вы то откуда звоните,ну вы то откуда звоните,ну вы то откуда звоните,0.0,ну вы то откуда звоните,ну вы их откуда звоните,0.2
4020,нууу вот как бы это не совсем моя идея,нууу вот как бы это не совсем моя идея,ну вот как бы это не совсем моя идея,0.1111111111111111,нууу вот как бы это не совсем моя идея,ну вот как бы это не совсем моя идея,0.1111111111111111
4021,это ж пиздец какой кошмар какой то какой-то,это ж пиздец какой кошмар какой то какой-то,это ж пиздец какой кошмар какой то какой то,0.25,это ж пиздец какой кошмар какой то какой-то,пиздец какой кошмар какой то какой то,0.5
4022,чтооо это за хуйня какая то там,чтооо это за хуйня какая то там,что захуйня какая то там,0.5714285714285714,чтооо это за хуйня какая то там,что это захуйня какая то там,0.42857142857142855
4023,нет ты просто дурак какой то,нет ты просто дурак какой то,нет ты просто дурак какой то,0.0,нет ты просто дурак какой то,нет ты просто дурак какой то,0.0
4024,а я тебе щас скажу что вы не туда попали,а я тебе щас скажу что вы не туда попали,а я тебя щас скажу что вы не туда попали,0.1,а я тебе щас скажу что вы не туда попали,а я тебе щас скажу что вы не туда попали,0.0
4025,чё ты звонишь сюда блядь я спрашиваю где находится военкомат,чё ты звонишь сюда блядь я спрашиваю где находится военкомат,ну че ты звонишь сюда блять я спрашиваю где находится вы военкома,0.5,чё ты звонишь сюда блядь я спрашиваю где находится военкомат,че ты звонишь сюда блять я спрашиваю где находится военкома,0.3
4026,а я чё я с пьяным горлом разговариваю вообще,а я чё я с пьяным горлом разговариваю вообще,а я че я в пьяным гором разговариваю вообще,0.3333333333333333,а я чё я с пьяным горлом разговариваю вообще,а я че я с пять че я сомню разговариваю вообще,0.5555555555555556
4027,чтооо,чтооо,что,1.0,чтооо,что,1.0
4028,ну да ну да конечно всё,ну да ну да конечно всё,ну да да конечно все,0.3333333333333333,ну да ну да конечно всё,ну да ну да конечно,0.16666666666666666
4029,я не пойму вы меня слышите или нет я вас спрашиваю куда прибыть начальнику второго отделения,я не пойму вы меня слышите или нет я вас спрашиваю куда прибыть начальнику второго отделения,я не пойму вы меня слышите или нет я вас спрашиваю куда прибыть начальнику второго отделения,0.0,я не пойму вы меня слышите или нет я вас спрашиваю куда прибыть начальнику второго отделения,я не пойму вы меня слышите или нет я вас спрашиваю куда прибыть начальнику второго отделения,0.0
4030,всё записал дааа с тобой разговаривают,всё записал дааа с тобой разговаривают,все записал да с тобой разговаривают,0.3333333333333333,всё записал дааа с тобой разговаривают,все записал да с тобой разговариваете,0.5
4031,вот так значит это было,вот так значит это было,вот так значит это было,0.0,вот так значит это было,вот так значит это было,0.0
4032,алё здравствуйте алло,алё здравствуйте алло,але здравствуйте алло,0.3333333333333333,алё здравствуйте алло,але здравствуйте алло,0.3333333333333333
4033,ну да я не понял чё вы хотели,ну да я не понял чё вы хотели,ну да я не понял че вы хотели,0.125,ну да я не понял чё вы хотели,да я не понял че вы хотели,0.25
4034,да дааа а кто это такой говорит я не поняла у него глаза или уши были,да дааа а кто это такой говорит я не поняла у него глаза или уши были,да а кто это такой говорит я не поняла у него глаза или были,0.125,да дааа а кто это такой говорит я не поняла у него глаза или уши были,да да а это такой говорит я не поняла у него глаза или уши были,0.125
4035,у нас нет такой информации,у нас нет такой информации,на у нас нет такой информации,0.2,у нас нет такой информации,у нас нет такой информация,0.2
4036,а вы мне скажите пожалуйста куда прибыть то надо,а вы мне скажите пожалуйста куда прибыть то надо,а вы мне скажите пожалуйста куда прибыть то надо,0.0,а вы мне скажите пожалуйста куда прибыть то надо,а вы мне скажите пожалуйста куда прибыть то надо,0.0
4037,чё ты звонишь то мне,чё ты звонишь то мне,че ты звонишь то мне,0.2,чё ты звонишь то мне,вот щас звонили там,1.0
4038,давай не будем о грустном а давай поговорим с тобой серьёзно как у людей у нас в семье все друзья бывшие военные,давай не будем о грустном а давай поговорим с тобой серьёзно как у людей у нас в семье все друзья бывшие военные,давай не будем нагрустном а давай поговорим с тобой серьезно как у людей у нас в семье все друзья бывшие военные,0.13636363636363635,давай не будем о грустном а давай поговорим с тобой серьёзно как у людей у нас в семье все друзья бывшие военные,давай не будем о грусстном а давай поговорим с тобой серьезно как у людей у нас в семье все друзья бывшие военные,0.09090909090909091
4039,а почему бы и нет,а почему бы и нет,а почему бы и нет,0.0,а почему бы и нет,а почему бы и нет,0.0
4040,это не я звоню ты мне звонишь,это не я звоню ты мне звонишь,это не я звоню ты мне звонишь,0.0,это не я звоню ты мне звонишь,это не я звоню ты мне звонишь,0.0
4041,всё ясно,всё ясно,все ясно,0.5,всё ясно,все ясно,0.5
4042,вы меня не слышите,вы меня не слышите,меня не слышите,0.25,вы меня не слышите,вы меня не слышите,0.0
4043,какой кабинет где он находится,какой кабинет где он находится,какой кабинет где он находится,0.0,какой кабинет где он находится,какой кабинет где он находится,0.0
4044,в девять утра в девять часов утра,в девять утра в девять часов утра,девять утра в девять часов утра,0.14285714285714285,в девять утра в девять часов утра,ну этого в девять часов утра,0.42857142857142855
4045,да да я знаю у нас в городе такой нету,да да я знаю у нас в городе такой нету,да да я знаю мне городе такой нету,0.3,да да я знаю у нас в городе такой нету,да да я знаю у нас в городе такой нету,0.0
4046,я не понимаю кто ты такой я чё я даже сказать толком не могу мне кажется,я не понимаю кто ты такой я чё я даже сказать толком не могу мне кажется,я не понимаю ты такой я че я даже сказать толком не могу мне кажется,0.125,я не понимаю кто ты такой я чё я даже сказать толком не могу мне кажется,я не понимаю кто ты такой я че я даже сказать толком не могу мне кажется,0.0625
4047,да да конечно а куда ж ему прибыть куда,да да конечно а куда ж ему прибыть куда,да да конечно а куда ж ему прибыть куда,0.0,да да конечно а куда ж ему прибыть куда,да да конечно а куда ж ему прибыть куда,0.0
4048,давайте ещё раз скажите мне пожалуйста ваш адрес,давайте ещё раз скажите мне пожалуйста ваш адрес,давайте еще раз скажите мне пожалуйста ваш адрес,0.125,давайте ещё раз скажите мне пожалуйста ваш адрес,давайте еще раз скажите мне пожалуйста ваш адрес,0.125
4049,я не понял у меня пенсия триста тысяч да что вы говорите,я не понял у меня пенсия триста тысяч да что вы говорите,я не понял у меня пенсие триста тысяч да что вы говорите,0.08333333333333333,я не понял у меня пенсия триста тысяч да что вы говорите,я не понял в меня пенсии триста тысяч да что вы говорите,0.16666666666666666
4050,ааа у нас нет денег мы сами хотим купить квартиру,ааа у нас нет денег мы сами хотим купить квартиру,ааа у нас нет денег мы сами хотим купить квартиру,0.0,ааа у нас нет денег мы сами хотим купить квартиру,а у нас нет денег мы сами хотим купить квартиру,0.1
4051,давай встретимся поговорим хорошо давай я тебе ещё раз позвоню я тебя ебал в жопу блять,давай встретимся поговорим хорошо давай я тебе ещё раз позвоню я тебя ебал в жопу блять,давай встретимся поговорим хорошо давай я передавляю я тебе ебал в жопу блять,0.3125,давай встретимся поговорим хорошо давай я тебе ещё раз позвоню я тебя ебал в жопу блять,давай встретимся поговорим хорошо давай я тебе еще раз позвоню я тебя ебал в жопу блин я тебя ебал в жопу блять,0.4375
